Pelicula,Personaje,Actor,Anio,Director,Duracion
Episodio IX - El ascenso de Skywalker,Leia Organa,Carrie Fisher,2019,Jeffrey Jacob Abrams,142 min
Episodio IX - El ascenso de Skywalker,Luke Skywalker,Mark Hamill,2019,Jeffrey Jacob Abrams,142 min
Episodio IX - El ascenso de Skywalker,Kylo Ren,Adam Driver,2019,Jeffrey Jacob Abrams,142 min
Episodio IX - El ascenso de Skywalker,Rey,Daisy Ridley,2019,Jeffrey Jacob Abrams,142 min
Episodio IX - El ascenso de Skywalker,Finn,John Boyega,2019,Jeffrey Jacob Abrams,142 min
Episodio IX - El ascenso de Skywalker,Poe Dameron,Oscar Isaac,2019,Jeffrey Jacob Abrams,142 min
Episodio IX - El ascenso de Skywalker,C-3PO,Anthony Daniels,2019,Jeffrey Jacob Abrams,142 min
Episodio IX - El ascenso de Skywalker,Jannah,Naomi Ackie,2019,Jeffrey Jacob Abrams,142 min
Episodio IX - El ascenso de Skywalker,General Hux,Domhnall Gleeson,2019,Jeffrey Jacob Abrams,142 min
Episodio IX - El ascenso de Skywalker,General Pryde,Richard E. Grant,2019,Jeffrey Jacob Abrams,142 min
Episodio IX - El ascenso de Skywalker,Maz Kanata,Lupita Nyong'o,2019,Jeffrey Jacob Abrams,142 min
Episodio IX - El ascenso de Skywalker,Zorii Bliss,Keri Russell,2019,Jeffrey Jacob Abrams,142 min
Episodio IX - El ascenso de Skywalker,Chewbacca,Joonas Suotamo,2019,Jeffrey Jacob Abrams,142 min
Episodio IX - El ascenso de Skywalker,Rose Tico,Kelly Marie Tran,2019,Jeffrey Jacob Abrams,142 min
Episodio IX - El ascenso de Skywalker,Emperador Palpatine,Ian McDiarmid,2019,Jeffrey Jacob Abrams,142 min
Episodio IX - El ascenso de Skywalker,Lando Calrissian,Billy Dee Williams,2019,Jeffrey Jacob Abrams,142 min
Episodio IX - El ascenso de Skywalker,Han Solo,Harrison Ford,2019,Jeffrey Jacob Abrams,142 min
Episodio IX - El ascenso de Skywalker,Wedge Antilles,Denis Lawson,2019,Jeffrey Jacob Abrams,142 min
Episodio IX - El ascenso de Skywalker,Anakin Skywalker,Hayden Christensen,2019,Jeffrey Jacob Abrams,142 min
Episodio IX - El ascenso de Skywalker,Obi-Wan Kenobi,Ewan McGregor y Alec Guinness,2019,Jeffrey Jacob Abrams,142 min
Episodio IX - El ascenso de Skywalker,Frank Oz,Yoda,2019,Jeffrey Jacob Abrams,142 min
Episodio IX - El ascenso de Skywalker,Qui-Gon Jinn,Liam Neeson,2019,Jeffrey Jacob Abrams,142 min
Episodio IX - El ascenso de Skywalker,Mace Windu,Samuel L. Jackson,2019,Jeffrey Jacob Abrams,142 min
Episodio IX - El ascenso de Skywalker,Darth Vader,James Earl Jones,2019,Jeffrey Jacob Abrams,142 min
Episodio IX - El ascenso de Skywalker,Snoke,Andy Serkis,2019,Jeffrey Jacob Abrams,142 min
Episodio IX - El ascenso de Skywalker,Ahsoka Tano,Ashley Eckstein,2019,Jeffrey Jacob Abrams,142 min
Episodio IX - El ascenso de Skywalker,Kanan Jarrus,Freddie Prinze Jr.,2019,Jeffrey Jacob Abrams,142 min
Episodio IX - El ascenso de Skywalker,Luminara Unduli,Olivia d'Abo,2019,Jeffrey Jacob Abrams,142 min
Episodio IX - El ascenso de Skywalker,Aayla Secura,Jennifer Hale,2019,Jeffrey Jacob Abrams,142 min
